PERMISSION NAME;PERMISSION_KEY;portal-mgmt-admin;portal-mgmt-user
Menu tree drag & drop;MENU#DRAG_DROP;x;
Menu create;MENU#CREATE;x;
Menu delete;MENU#DELETE;x;
Menu edit;MENU#EDIT;x;
Menu copy;MENU#COPY;x;
Menu save;MENU#SAVE;x;
Menu import;MENU#IMPORT;x;
Menu export;MENU#EXPORT;x;
Menu search page;MENU#SEARCH;x;x
Menu detail page;MENU#VIEW;x;x
Menu view tenant Id;MENU_TENANT#VIEW;x;
Workspace create;WORKSPACE#CREATE;x;
Workspace delete;WORKSPACE#DELETE;x;
Workspace edit;WORKSPACE#EDIT;x;
Workspace save;WORKSPACE#SAVE;x;
Workspace import;WORKSPACE#IMPORT;x;
Workspace export;WORKSPACE#EXPORT;x;
Workspace search page;WORKSPACE#SEARCH;x;x
Workspace detail page;WORKSPACE#VIEW;x;x
Workspace detail page - view tenant Id;WORKSPACE_TENANT#VIEW;x;
Workspace detail page - edit tenant Id;WORKSPACE_TENANT#EDIT;x;
Workspace detail page - viewing properties;WORKSPACE_PROPS#VIEW;x;x
Workspace detail page - viewing contact information;WORKSPACE_CONTACT#VIEW;x;x
Workspace detail page - viewing internal properties;WORKSPACE_INTERNAL#VIEW;x;
Workspace detail page - viewing roles;WORKSPACE_ROLES#VIEW;x;
Workspace detail page - viewing registered products;WORKSPACE_PRODUCTS#VIEW;x;
Workspace detail page - viewing images;WORKSPACE_IMAGES#VIEW;x;x
Workspace register App Module;WORKSPACE_MFE#REGISTER;x;
Workspace deregister App Module;WORKSPACE_MFE#DEREGISTER;x;
Workspace upload images;WORKSPACE_IMAGE#EDIT;x;
Workspace delete images;WORKSPACE_IMAGE#DELETE;x;
Workspace edit roles;WORKSPACE_ROLE#EDIT;x;
Workspace delete roles;WORKSPACE_ROLE#DELETE;x;
Theme create;THEME#CREATE;x;
Theme delete;THEME#DELETE;x;
Theme edit;THEME#EDIT;x;
Theme save;THEME#SAVE;x;
Theme import;THEME#IMPORT;x;
Theme export;THEME#EXPORT;x;
Theme detail page;THEME#VIEW;x;x
Theme search page;THEME#SEARCH;x;x
